Brand,Fuel_Type,Transmission,Owner_Type,Year,Engine_CC,Mileage,Kilometers_Driven,Seats,Price_Lakhs
Renault,Petrol,Manual,Third,2018,800.0,20.6,133216,7.0,7.24
Ford,Diesel,Manual,Second,2020,1800.0,12.3,138175,7.0,9.34
Renault,Diesel,Manual,Third,2025,1400.0,18.3,70901,5.0,11.17
Renault,Petrol,Manual,First,2019,1200.0,16.9,103046,7.0,9.41
Ford,Diesel,Manual,First,2013,1200.0,13.1,95012,5.0,5.34
Maruti,Diesel,Manual,First,2021,800.0,14.7,83278,7.0,9.18
Toyota,Petrol,Manual,First,2023,2000.0,17.6,17391,5.0,14.35
Renault,Petrol,Automatic,Second,2015,1600.0,21.6,107476,5.0,6.8
Ford,Petrol,Manual,First,2017,2000.0,15.7,125721,7.0,8.74
Ford,Diesel,Manual,First,2023,1000.0,22.2,102537,5.0,13.02
Tata,Petrol,Manual,First,2013,1600.0,18.2,86159,7.0,5.15
Maruti,Petrol,Manual,First,2018,1600.0,22.6,136040,5.0,7.74
Kia,Diesel,Manual,Second,2014,1800.0,15.9,40503,5.0,9.92
Tata,Diesel,Manual,First,2024,800.0,17.8,80403,5.0,10.71
Tata,Petrol,Manual,First,2014,2000.0,19.3,69286,5.0,7.25
Volkswagen,Diesel,Manual,First,2022,2000.0,17.4,79842,5.0,11.84
Toyota,Petrol,Manual,First,2013,800.0,21.3,109927,4.0,8.58
Ford,Diesel,Automatic,Second,2022,2000.0,10.3,19908,5.0,12.09
Toyota,Petrol,Automatic,Second,2019,2200.0,26.5,42228,4.0,13.27
Honda,Petrol,Manual,Third,2017,800.0,21.0,28386,7.0,9.28
Volkswagen,Diesel,Manual,Second,2012,1800.0,17.4,33302,7.0,9.57
Kia,Petrol,Manual,First,2023,1400.0,16.1,65815,5.0,12.36
Toyota,Petrol,Manual,Second,2012,1600.0,15.0,68344,7.0,8.78
Hyundai,Diesel,Automatic,First,2018,1800.0,20.3,116603,,11.97
Renault,Diesel,Manual,First,2019,1200.0,21.5,66114,6.0,9.62
Honda,Diesel,Manual,Second,2016,1000.0,17.4,30525,7.0,9.78
Maruti,Diesel,Manual,First,2023,1400.0,21.9,84818,7.0,11.23
Kia,Petrol,Manual,Second,2022,1200.0,14.8,119589,5.0,11.23
Honda,Petrol,Manual,First,2016,1600.0,14.2,99715,7.0,8.78
Renault,Petrol,Manual,First,2015,2000.0,24.3,11644,5.0,9.01
Volkswagen,Petrol,Manual,Second,2025,800.0,20.1,106154,7.0,10.64
Renault,CNG,Manual,Second,2017,1600.0,22.9,48469,4.0,7.96
Tata,Diesel,Manual,First,2025,1800.0,15.0,111609,5.0,10.92
Renault,Petrol,Manual,First,2017,1000.0,14.8,70206,6.0,6.33
Tata,Petrol,Manual,First,2014,1800.0,16.7,101462,6.0,5.8
Volkswagen,CNG,Manual,First,2020,1400.0,15.1,88178,5.0,9.14
Nissan,Petrol,Manual,First,2023,1400.0,20.5,91724,7.0,12.65
Tata,Diesel,Manual,Second,2022,1000.0,15.4,101393,5.0,9.89
Maruti,Petrol,Manual,First,2025,2200.0,13.9,132314,5.0,12.14
Renault,Diesel,Manual,Second,2018,1200.0,18.5,81312,5.0,6.86
Renault,Petrol,Automatic,First,2012,1200.0,,80324,5.0,6.58
Maruti,Diesel,Manual,First,2024,1400.0,11.7,76196,5.0,9.44
Hyundai,CNG,Manual,Second,2018,1400.0,18.5,75014,5.0,6.89
Ford,Petrol,Manual,First,2016,2000.0,11.9,144282,5.0,6.2
Nissan,Diesel,Manual,First,2016,800.0,20.7,146994,5.0,7.94
Kia,CNG,Manual,First,2025,2000.0,13.1,38340,5.0,13.39
Tata,Diesel,Manual,Third,2024,2000.0,10.2,44850,7.0,11.88
Maruti,Petrol,Automatic,Second,2013,2200.0,17.0,118711,7.0,8.12
Volkswagen,Petrol,Manual,First,2015,1200.0,18.5,16094,5.0,10.9
Tata,Diesel,Manual,First,2023,2200.0,19.7,92959,5.0,10.73
Ford,Petrol,Manual,First,2017,2200.0,18.6,10741,,10.88
Volkswagen,Diesel,Automatic,Second,2021,1000.0,14.3,116585,4.0,12.53
Honda,CNG,Manual,Second,2022,1200.0,20.5,127564,6.0,8.68
Renault,CNG,Automatic,First,2018,800.0,21.4,73798,5.0,10.04
Honda,Petrol,Manual,First,2022,1800.0,13.8,121026,5.0,10.76
Tata,Petrol,Automatic,First,2016,1400.0,17.4,115130,5.0,8.34
Ford,CNG,Manual,Second,2020,1400.0,17.0,27164,4.0,8.25
Nissan,Diesel,Automatic,Second,2014,800.0,18.8,35257,7.0,8.28
Tata,Petrol,Manual,First,2012,2200.0,17.3,100989,7.0,8.3
Maruti,CNG,Automatic,First,2015,2000.0,17.8,141304,5.0,8.04
Toyota,Diesel,Manual,First,2020,1000.0,20.2,57691,5.0,13.51
Tata,Petrol,Manual,Third,2015,2200.0,14.1,84768,7.0,5.96
Renault,Diesel,Manual,First,2013,1400.0,20.6,19026,7.0,7.51
Renault,Petrol,Automatic,Second,2021,1600.0,22.0,35908,5.0,12.33
Tata,Petrol,Manual,First,2025,2000.0,23.7,24610,5.0,11.86
Volkswagen,Petrol,Manual,First,2025,1400.0,10.5,68185,,11.74
Toyota,Diesel,Manual,First,2016,1600.0,17.4,77567,5.0,11.44
Maruti,Petrol,Manual,First,2014,2200.0,11.1,41182,5.0,6.88
Tata,Petrol,Automatic,First,2024,800.0,10.0,121136,4.0,10.2
Volkswagen,Petrol,Manual,Second,2023,800.0,18.5,136642,5.0,10.11
Renault,Petrol,Automatic,First,2024,2000.0,16.6,24288,4.0,14.06
Renault,CNG,Manual,First,2020,1400.0,19.0,83824,7.0,9.72
Ford,Petrol,Manual,First,2015,1200.0,19.7,89425,5.0,6.21
Tata,Petrol,Automatic,Third,2017,1600.0,22.4,5917,4.0,9.56
Toyota,Diesel,Manual,Second,2013,1000.0,18.2,80602,5.0,9.73
Hyundai,Petrol,Manual,First,2017,1400.0,28.0,69575,5.0,9.66
Toyota,Petrol,Manual,Third,2014,1000.0,19.1,77518,7.0,7.42
Renault,Petrol,Manual,First,2023,1400.0,24.4,44104,5.0,11.39
Renault,Petrol,Manual,First,2023,1200.0,10.0,21999,5.0,8.11
Honda,Petrol,Automatic,Second,2020,1200.0,22.7,146013,7.0,11.16
Renault,Petrol,Automatic,Second,2022,2000.0,17.4,66169,5.0,13.06
Maruti,Petrol,Manual,Second,2013,2000.0,11.2,134744,7.0,4.06
Kia,CNG,Manual,First,2023,1200.0,19.5,115684,5.0,10.95
Tata,Petrol,Manual,First,2023,1800.0,16.9,64821,5.0,11.3
Toyota,Diesel,Manual,Second,2020,1200.0,20.0,140601,5.0,10.18
Kia,Diesel,Manual,First,2016,800.0,21.5,17192,5.0,10.08
Volkswagen,Petrol,Manual,First,2019,800.0,12.8,79102,7.0,9.91
Hyundai,Diesel,Manual,First,2013,1800.0,21.6,119894,7.0,7.29
Maruti,Petrol,Automatic,First,2017,2200.0,18.0,91795,5.0,9.75
Toyota,CNG,Automatic,First,2014,1600.0,22.7,71677,5.0,12.57
Kia,Petrol,Automatic,Third,2023,2200.0,17.3,140699,7.0,13.94
Hyundai,Petrol,Manual,First,2023,1000.0,16.4,139327,7.0,9.7
Honda,Petrol,Manual,First,2025,2200.0,18.1,141285,5.0,12.14
Maruti,CNG,Manual,First,2021,1400.0,18.4,107412,5.0,8.81
Maruti,Petrol,Automatic,Second,2016,2200.0,15.7,24404,5.0,9.3
Honda,Diesel,Manual,First,2023,1400.0,16.3,121545,7.0,12.34
Tata,Petrol,Automatic,First,2019,1800.0,13.7,28989,5.0,10.52
Honda,Diesel,Manual,Second,2021,800.0,16.5,113106,5.0,9.19
Maruti,Petrol,Manual,Second,2025,2000.0,20.4,29519,7.0,11.25
Maruti,Diesel,Automatic,Second,2012,1400.0,17.5,27439,5.0,7.67
Kia,Petrol,Manual,Second,2016,800.0,21.5,123570,5.0,7.16
Renault,Petrol,Automatic,First,2014,1600.0,17.4,19995,5.0,8.07
Hyundai,Petrol,Automatic,Second,2015,1000.0,13.0,28559,5.0,7.92
Honda,Petrol,Manual,First,2013,1600.0,20.1,94049,5.0,7.59
Hyundai,Petrol,Manual,Second,2020,1800.0,15.6,141093,5.0,8.51
Honda,Petrol,Manual,Second,2014,2200.0,17.2,103000,5.0,7.12
Volkswagen,Diesel,Automatic,Second,2013,2200.0,22.3,44350,5.0,11.68
Maruti,Petrol,Manual,Second,2021,1200.0,13.9,30517,7.0,9.18
Renault,Petrol,Manual,First,2022,1200.0,18.6,94132,7.0,10.13
Kia,Petrol,Manual,First,2020,1200.0,17.9,64546,5.0,10.35
Renault,Petrol,Automatic,Third,2018,1600.0,20.5,110686,5.0,8.78
Renault,Petrol,Manual,Third,2017,1400.0,21.0,93151,5.0,6.75
Renault,Petrol,Manual,First,2012,1000.0,18.9,8327,5.0,5.9
Hyundai,Petrol,Automatic,First,2016,1200.0,16.7,125318,5.0,6.62
Honda,Diesel,Manual,First,2023,1800.0,19.7,120945,6.0,12.43
Nissan,CNG,Manual,Second,2022,1800.0,22.7,51830,5.0,12.08
Volkswagen,Petrol,Automatic,Second,2025,1200.0,17.9,57446,4.0,13.51
Toyota,Petrol,Manual,First,2022,2200.0,17.1,145148,5.0,12.43
Renault,Diesel,Automatic,First,2014,1200.0,19.4,74341,6.0,9.13
Tata,Petrol,Manual,Second,2012,1000.0,18.1,36085,5.0,5.13
Hyundai,Petrol,Manual,Second,2015,1200.0,13.3,60571,5.0,6.76
Kia,Petrol,Automatic,First,2024,1000.0,18.8,133308,5.0,12.51
Toyota,Diesel,Manual,First,2013,1800.0,13.3,10750,7.0,11.87
Nissan,Diesel,Manual,First,2013,1200.0,19.3,118931,7.0,7.34
Tata,Petrol,Manual,First,2014,,15.2,83768,5.0,6.16
Nissan,Petrol,Manual,First,2019,2000.0,18.1,40903,5.0,10.13
Toyota,Petrol,Manual,Second,2019,1600.0,19.4,96036,5.0,11.97
Renault,Diesel,Manual,Second,2023,1800.0,26.6,92954,5.0,12.02
Tata,Petrol,Automatic,First,2018,1000.0,20.6,88014,6.0,8.61
Nissan,Petrol,Manual,Second,2017,1600.0,22.8,122305,7.0,8.49
Kia,Diesel,Manual,First,2020,1000.0,24.6,37101,6.0,12.52
Honda,Petrol,Manual,First,2015,1600.0,19.7,7775,7.0,9.81
Maruti,Diesel,Automatic,First,2023,1600.0,19.0,116497,5.0,12.4
Honda,Petrol,Manual,First,2012,1000.0,14.3,50619,5.0,6.1
Toyota,Petrol,Automatic,Second,2019,1400.0,17.6,62124,7.0,14.39
Hyundai,Petrol,Manual,Third,2018,1600.0,15.5,70149,5.0,7.08
Maruti,Diesel,Manual,First,2018,1200.0,16.6,31616,6.0,7.84
Volkswagen,Diesel,Manual,First,2014,2000.0,24.5,66799,5.0,10.07
Kia,Diesel,Manual,Second,2015,1800.0,18.4,95221,5.0,9.56
Volkswagen,Petrol,Manual,First,2021,1400.0,14.9,119879,7.0,11.69
Tata,Diesel,Manual,First,2020,1000.0,22.8,30479,5.0,10.76
Maruti,Petrol,Automatic,Second,2017,1400.0,21.3,104165,7.0,8.28
Volkswagen,Petrol,Manual,First,2016,800.0,21.5,60863,7.0,11.25
Volkswagen,Diesel,Manual,First,2014,800.0,11.0,87569,7.0,8.06
Nissan,Petrol,Manual,First,2020,1600.0,24.8,21351,6.0,11.72
Honda,Petrol,Manual,Second,2016,1600.0,16.0,140203,5.0,6.9
